architecture,n_params,mean_mse,std_mse,mean_r2,std_r2
A10,2437,0.02453638094790143,0.03070065080612334,0.5606419085521147,0.4131214478213402
A11,3013,0.025579739994720057,0.029176897595963338,0.47559131960990314,0.5393452123854883
A8,773,0.026150892206973742,0.030180134031191876,0.5458500128835517,0.34554047725605164
A6,4805,0.027084054358589484,0.04113003328876784,0.5621699419365886,0.3624631879616054
A5,1381,0.028262234887310965,0.031029196617733304,0.4137530381769626,0.6038939454587128
A4,437,0.02927534428050608,0.031991964832779336,0.3768847596892497,0.8241356067724129
A16_wide128,1285,0.0293199793283729,0.03357630844002763,0.4412630184863752,0.4806440392924433
A12,981,0.03146208273131449,0.049495134696053045,0.41157538850218073,0.6320021569446104
A9,709,0.03163582545671314,0.05462935310819645,0.5000478024388586,0.4516698378059396
A7,261,0.03228906812139156,0.05279041250008047,0.5083056793241164,0.46120451058961004
A2,325,0.032503444898981076,0.04580288474918437,0.4299866518129581,0.5770133253490586
A3,645,0.03292965675782186,0.04799406598699351,0.44304882307554155,0.45221974189847053
A1,165,0.03540284728696087,0.03776282641306901,0.3849264374360627,0.4676637649607852
A15_tiny8,85,0.05013458623620001,0.05180695376243384,0.014530815121847167,0.9416358737142694
A14_tiny4,45,0.061478039232872074,0.05701185141513357,0.06875958331873111,0.3706767815663786
A13_linear,25,0.07472401744013699,0.06531542239791717,-0.3604237184373036,0.7724498179633239
