SOI,lambda,sub_rate,P_rail,density_ratio,validity_eff_nox
0.98422605,0.8335611,0.8771414,0.5613026,0.0652623587843083,1.0
0.14990582,0.6320244,0.38523886,0.8052139,0.008947959241127897,1.0
0.8028719,0.114549614,0.1256292,0.96707326,1.0500862844985883e-7,1.0
0.93835616,0.12817724,0.9965566,0.81877273,1.6866754192651943e-6,0.39763462563710733
0.6484454,0.5639362,0.61817235,0.20836833,0.009699568296097938,1.0
0.1332419,0.87164545,0.7730293,0.37210688,0.005991688769129339,1.0
0.22322161,0.89180535,0.8385333,0.5899562,0.18851826714650932,1.0
0.45984572,0.050316952,0.68425524,0.7570325,0.30989831597185896,0.47224316599706223
0.85867417,0.6046295,0.8475304,0.39781052,0.003030419673413374,1.0
0.7188701,0.44252428,0.21977308,0.5653302,0.0008731741408620525,1.0
0.35056284,0.66016734,0.94529974,0.88168764,0.06666586183396869,1.0
0.60516775,0.34919524,0.20261252,0.49771166,0.0013659998934003588,1.0
0.5233175,0.26186025,0.4388001,0.73899263,0.01589821685685418,1.0
0.10921308,0.006335149,0.15029484,0.36221927,1.3439261111303625e-7,1.0
0.75254107,0.46743125,0.4008602,0.52188545,0.0015020623669464296,1.0
0.4623316,0.9195289,0.71743476,0.413235,0.07425478204000245,1.0
0.44536528,0.25344643,0.5884408,0.18869606,0.0012883976026148718,1.0
0.22796918,0.7015633,0.9687854,0.92759144,0.00884744530463208,1.0
0.4121466,0.5907661,0.44394168,0.39371863,0.019600059644921567,1.0
0.3877064,0.8093381,0.78844297,0.0882161,0.06535358112357376,1.0
0.5173357,0.7585936,0.688186,0.18083303,0.06426400989525287,1.0
0.48497728,0.5379099,0.9972776,0.33653814,0.004823100073663687,1.0
0.7828387,0.44349897,0.11484769,0.27230367,4.7509222615819894e-7,1.0
0.25155383,0.30561897,0.2146985,0.6533697,0.0044996419551862135,1.0
0.1726382,0.5049124,0.675882,0.104038104,0.007746585264306422,1.0
0.6040914,0.40130028,0.43973413,0.33003083,0.0009131356665607494,1.0
0.01622125,0.5392831,0.49955064,0.63072777,0.03207604140411616,1.0
0.024903608,0.8790974,0.41954422,0.38279763,0.00018132313339556683,1.0
0.811694,0.00042078044,0.95182323,0.9281434,0.000013606481819340757,0.13821473996101624
0.56924146,0.7772805,0.9825679,0.8253727,0.08783931890002797,1.0
0.6544159,0.47135016,0.42891556,0.65958416,0.021632140699967096,1.0
0.111958385,0.565506,0.26267013,0.9648555,0.00004083772896856014,1.0
0.19389659,0.28141236,0.18482941,0.15107489,8.442481322472265e-8,1.0
0.09041894,0.9246531,0.8094091,0.9799772,0.0017813350014314342,1.0
0.25804144,0.5825177,0.24821727,0.27491727,0.000050103314778648464,1.0
0.07651334,0.7785093,0.9900622,0.14642827,0.00003597044783664212,1.0
0.07552651,0.575733,0.68666846,0.84347934,0.04720536310990111,1.0
0.9375611,0.6459784,0.6271737,0.10810384,8.962302594640315e-6,1.0
0.44885975,0.80744594,0.51889145,0.53932774,0.20356207476038923,1.0
0.47771877,0.5363406,0.973273,0.6812314,0.32398942763941196,1.0
0.6718923,0.670084,0.48576978,0.8999626,0.008599480402556288,1.0
0.59244514,0.13762908,0.82817024,0.78619176,0.06584714893097594,0.18295661960698947
0.17668286,0.4180471,0.18370908,0.91048497,0.0002765789927371473,1.0
0.780744,0.734064,0.099835396,0.69395506,0.0010255060419957452,1.0
0.8885649,0.6120076,0.18510832,0.05925139,2.41051182899008e-9,1.0
0.6751092,0.5781066,0.30648115,0.17768407,0.000022235564534856162,1.0
0.620228,0.88633835,0.72162634,0.84090555,0.13009034603121925,1.0
0.2872532,0.5717375,0.5460632,0.86275905,0.057651244099528307,1.0
0.63587725,0.068168886,0.9398467,0.24582073,3.6375094825956003e-6,0.39650380691722825
0.41340062,0.094125435,0.35880357,0.8026897,0.0018202709140823802,1.0
0.4512226,0.74402815,0.49549925,0.028856102,0.028336083829479563,1.0
0.38098606,0.5897703,0.57886815,0.82432234,0.21154432878711663,1.0
0.89087814,0.77249366,0.016305737,0.18941888,6.453853816934646e-10,1.0
0.6878002,0.121195875,0.04528459,0.30026102,3.1244598284621895e-7,1.0
0.05186894,0.056876246,0.14507243,0.19060242,2.310318859491693e-10,1.0
0.8866991,0.8355114,0.90033716,0.47304437,0.015113042429073678,1.0
0.72071356,0.9480752,0.38297513,0.5584448,0.004918203638250317,1.0
0.502366,0.8378941,0.71085966,0.06958088,0.07357110253320423,1.0
0.6360338,0.069403954,0.350067,0.8381956,0.00017526176290133912,1.0
0.7975326,0.21821524,0.5049822,0.24089086,1.2227465598314193e-6,1.0
0.40517056,0.36220318,0.39676735,0.76646924,0.026804852861855973,1.0
0.690394,0.024132261,0.7713969,0.04958743,3.2123890885368405e-7,1.0
0.74262583,0.5885741,0.30034807,0.2981325,0.00001254354034348046,1.0
0.0465461,0.8727522,0.6977633,0.12525399,0.0001635221744523928,1.0
0.074183434,0.3838947,0.92893344,0.8954056,0.00043197928053949824,1.0
0.9598538,0.68017536,0.93468964,0.30585614,0.0000735879740731888,1.0
0.48707902,0.59483445,0.3847153,0.040846385,0.0029223192152944334,1.0
0.11688451,0.6499789,0.7759446,0.32882535,0.005880197964320404,1.0
0.9519466,0.40340886,0.17931929,0.33760637,1.192300238263956e-8,1.0
0.181682,0.14249547,0.827125,0.34314886,0.00028906060975481343,0.5451542628535909
0.028956525,0.2568185,0.28176326,0.7197506,0.00003116339652160079,1.0
0.82842875,0.15858373,0.95095074,0.043626387,3.3938800223597196e-8,1.0
0.32747623,0.8598983,0.41716653,0.91594803,0.008835083541885386,1.0
0.95507514,0.22690089,0.42215642,0.21109734,2.646673251658438e-9,1.0
0.015020429,0.733198,0.6692205,0.6243575,0.2586116906550438,1.0
0.762221,0.23786545,0.8934639,0.39448577,0.0000928099034209621,0.6611175617130132
0.43414244,0.2885372,0.8186149,0.85936046,0.04932459619384,0.5299428916980614
0.17173354,0.31586024,0.94952214,0.18358311,0.00006026263356831858,1.0
0.05876743,0.3866325,0.8046336,0.8046725,0.007203207860539846,1.0
0.14362054,0.83131427,0.8157031,0.37605113,0.007033572912674479,1.0
0.42308366,0.2485191,0.97567165,0.7714646,0.0274806065742065,0.24634149880374007
0.08215144,0.2623474,0.17719561,0.95246726,4.326894308617528e-6,1.0
0.12536708,0.56671184,0.5232651,0.8977976,0.0069452769530733306,1.0
0.7543052,0.57713926,0.5398679,0.34838563,0.0016345271812943387,1.0
0.8559049,0.98027426,0.6019155,0.02906406,0.000041060852800673445,1.0
0.93386257,0.5190411,0.6461991,0.5904063,0.05216849242048313,1.0
0.39021736,0.4002049,0.607054,0.6907466,0.3278331474694097,1.0
0.18840992,0.84590495,0.8083838,0.5318287,0.12887788935833794,1.0
0.83443505,0.36342758,0.272534,0.019477367,3.636318857390039e-8,1.0
0.9032361,0.5762008,0.37850785,0.0044004065,6.595555978798132e-7,1.0
0.12806876,0.0118802665,0.6588829,0.5569123,0.011131784100112998,0.6890576568438485
0.36234215,0.7375814,0.53322566,0.8423288,0.12730525709549895,1.0
0.36466637,0.45410162,0.89423746,0.79272944,0.14562320279384078,1.0
0.7966358,0.6016856,0.7728424,0.8448522,0.04099454351170757,1.0
0.8470639,0.4275621,0.5036167,0.4242703,0.0005320447698919271,1.0
0.243447,0.14706387,0.2512197,0.39552063,0.000011229815997546978,1.0
0.18462364,0.11301337,0.04328224,0.7110488,0.0007145591962811768,1.0
0.45888153,0.30214947,0.8173629,0.34087807,0.005478610656587928,0.8076968456497592
0.68041176,0.4583139,0.8609877,0.14554568,0.000985190526381957,1.0
0.8791746,0.70270467,0.7845414,0.2855577,0.0003518272730613774,1.0
0.5656981,0.76308155,0.51521873,0.6098894,0.24526421182017794,1.0
0.75100297,0.3371208,0.8437161,0.5161631,0.0031409749969015747,1.0
0.96589357,0.2830009,0.7463343,0.7213499,0.0010619395318476259,1.0
0.7959096,0.28610298,0.693971,0.59175915,0.004762844352297274,1.0
0.28685698,0.37922323,0.1518018,0.48808935,0.0055800116916367316,1.0
0.9643437,0.82596385,0.7629946,0.38494834,0.0061393459117901495,1.0
0.27439407,0.19219851,0.5357615,0.7241506,0.04611686202301483,0.9273423359526453
0.17894277,0.55319905,0.011072204,0.6172279,0.016670603605223676,1.0
0.5663019,0.15316202,0.30195984,0.04179822,6.36139557901999e-7,1.0
0.39787507,0.37249547,0.5652548,0.25037,0.010532620071178849,1.0
0.28914887,0.5858448,0.8362654,0.42780694,0.058457966780369595,1.0
0.89472926,0.18929009,0.5290198,0.44438845,0.000014187053224546733,1.0
0.6309455,0.8473837,0.50795764,0.98011583,0.007173955285958236,1.0
0.5392904,0.15282688,0.74090827,0.41281646,0.013803909296574168,0.4679401150058891
0.49501997,0.60354143,0.50621593,0.3123636,0.03307994486152954,1.0
0.9874276,0.10485487,0.46805397,0.9916987,2.291370963851325e-8,1.0
0.276422,0.32530022,0.095350765,0.4200594,0.0014832212235314686,1.0
0.59585154,0.9024916,0.54859596,0.59652585,0.15743532115888997,1.0
0.5418808,0.2068659,0.62572193,0.9196953,0.009711572828320322,0.649440992939548
0.7615721,0.95438904,0.47936538,0.37358817,0.0004662742047067856,1.0
