lambda_norm,HC_best_overall,HC_best_relu,HC_best_non_relu
0.0,0.08134472,0.042671323,0.19965774
0.0033444816,0.083338484,0.043796264,0.20105109
0.006688963,0.08555503,0.044921197,0.2024452
0.0100334445,0.087771595,0.046046123,0.20384003
0.013377926,0.08998814,0.04717105,0.20523557
0.016722407,0.09220469,0.048261262,0.20663181
0.020066889,0.09442124,0.0490352,0.20802876
0.02341137,0.09663779,0.049809143,0.20942645
0.026755853,0.09885435,0.050583094,0.2108249
0.030100334,0.101070896,0.051361218,0.21222395
0.033444814,0.10328744,0.052139796,0.21362382
0.036789298,0.105504,0.052918375,0.21502422
0.040133778,0.107720554,0.053696938,0.21642548
0.04347826,0.1099371,0.05447553,0.21782738
0.04682274,0.11215366,0.05528579,0.21923
0.050167225,0.11437021,0.0562039,0.2206333
0.053511705,0.11660672,0.05713924,0.22203729
0.05685619,0.11893134,0.058127914,0.22344206
0.06020067,0.121255934,0.05921358,0.22484742
0.06354515,0.12358054,0.060299262,0.22625351
0.06688963,0.12590514,0.061384924,0.22766039
0.07023411,0.12822975,0.062470596,0.22906785
0.073578596,0.13055436,0.063556254,0.23047602
0.07692308,0.13287897,0.06464193,0.23188487
0.080267556,0.13520356,0.06572758,0.23329441
0.08361204,0.13752817,0.06681329,0.23470464
0.08695652,0.13985278,0.06789893,0.2361156
0.09030101,0.14218244,0.06898461,0.23752719
0.09364548,0.14451635,0.07006041,0.23893945
0.09698997,0.14685024,0.07112916,0.24035242
0.10033445,0.14918414,0.072197914,0.24176605
0.10367893,0.15151803,0.07326667,0.24318038
0.10702341,0.15385194,0.074335426,0.24459529
0.110367894,0.15618584,0.07540419,0.246011
0.11371238,0.15851974,0.07647292,0.24742731
0.117056854,0.16085362,0.07754654,0.24884431
0.12040134,0.16318753,0.07863657,0.25026202
0.12374582,0.16552144,0.07972662,0.2516803
0.1270903,0.16785534,0.08081667,0.25309926
0.13043478,0.1702105,0.081906706,0.25451896
0.13377926,0.17259115,0.08299674,0.25593922
0.13712375,0.1749718,0.0840868,0.2573602
0.14046822,0.17735247,0.085176826,0.25878182
0.14381272,0.17973314,0.08626687,0.2602041
0.14715719,0.18211377,0.08816378,0.26162708
0.15050167,0.18470702,0.09015145,0.26305062
0.15384616,0.1873393,0.09216476,0.26447484
0.15719064,0.1899716,0.09420207,0.26589966
0.16053511,0.19260386,0.09623938,0.2673252
0.1638796,0.19523615,0.098276705,0.26875135
0.16722408,0.1978684,0.100314,0.2701781
0.17056856,0.2004258,0.10235131,0.27160558
0.17391305,0.20284164,0.104388624,0.27303368
0.17725752,0.20525745,0.106425926,0.2744624
0.18060201,0.20769167,0.10846322,0.27589172
0.18394649,0.21016341,0.11050055,0.27732167
0.18729097,0.21263516,0.112537846,0.27875233
0.19063546,0.21510693,0.11457515,0.2801835
0.19397993,0.21757871,0.11661246,0.28161544
0.19732441,0.22005045,0.118649766,0.2830479
0.2006689,0.2225222,0.12068707,0.28448093
0.20401338,0.22487602,0.12272437,0.28591466
0.20735785,0.22720867,0.124761686,0.2873489
0.21070234,0.22954133,0.12679899,0.288784
0.21404682,0.23186341,0.1288363,0.29021955
0.2173913,0.23413396,0.13087359,0.29165566
